Date : 2024-04-03 13:57:45
Directory : c:\Users\kaden.emrich\Documents\GitHub\kadensite
Total : 73 files,  5439 codes, 271 comments, 833 blanks, all 6543 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\e\sortingAlgorithms\index.html                  | HTML       |         13 |          0 |          0 |         13 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\files\resume\resume.html                        | HTML       |         38 |          0 |          8 |         46 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\Asteroids\index.html                          | HTML       |         25 |          0 |          0 |         25 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\badGames.html                                 | HTML       |         21 |          0 |          1 |         22 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\falling_ball\index.html                       | HTML       |         15 |          0 |          1 |         16 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\falling_ball\script.js                        | JavaScript |         92 |          0 |          4 |         96 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\falling_ball\style.css                        | CSS        |         36 |          0 |          0 |         36 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\index.html                                    | HTML       |         66 |          3 |         28 |         97 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\notAGame\game.html                            | HTML       |         16 |          0 |          0 |         16 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\notAGame\index.html                           | HTML       |         21 |          0 |          0 |         21 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\notAGame\script.js                            | JavaScript |         90 |          2 |         35 |        127 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\notAGame\style.css                            | CSS        |         34 |          0 |          4 |         38 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\scratch\biplane\index.html                    | HTML       |         12 |          0 |          1 |         13 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\scratch\not_mine\getting_over_it\index.html   | HTML       |         13 |          0 |          1 |         14 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\scratch\style.css                             | CSS        |          3 |          0 |          1 |          4 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\susamogus_impostor_vs_toxic_sludge\index.html | HTML       |         18 |          0 |          1 |         19 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\susamogus_impostor_vs_toxic_sludge\script.js  | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\susamogus_impostor_vs_toxic_sludge\style.css  | CSS        |         58 |          9 |          7 |         74 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\the-button\game.html                          | HTML       |         21 |          0 |          1 |         22 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\the-button\script.js                          | JavaScript |        250 |         14 |         60 |        324 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\the-button\style.css                          | CSS        |         87 |          0 |          5 |         92 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\verybad_dino\index.html                       | HTML       |         18 |          0 |          2 |         20 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\verybad_dino\script.js                        | JavaScript |         21 |          3 |          4 |         28 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\g\verybad_dino\style.css                        | CSS        |         38 |          0 |          0 |         38 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\hamburger-menu.js                               | JavaScript |         22 |          0 |         12 |         34 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\index.html                                      | HTML       |        105 |         27 |         26 |        158 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\index0.html                                     | HTML       |         30 |          1 |          2 |         33 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\news\02-15-2023\index.html                      | HTML       |         28 |          0 |          3 |         31 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\news\03-12-2023\index.html                      | HTML       |         28 |          0 |          3 |         31 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\news\04-19-2023\index.html                      | HTML       |         25 |          0 |          3 |         28 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\news\index.html                                 | HTML       |         26 |          0 |          3 |         29 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\resume.css                                      | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\scripts\draggable-element.js                    | JavaScript |         49 |          5 |         17 |         71 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\scripts\pop-window.js                           | JavaScript |         21 |          0 |          8 |         29 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\scripts\utils.js                                | JavaScript |          8 |          1 |          9 |         18 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\secret\index.html                               | HTML       |         24 |          1 |          3 |         28 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\secret\main.js                                  | JavaScript |        256 |         16 |         41 |        313 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\secret\style.css                                | CSS        |        140 |         21 |         14 |        175 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\splash-text.js                                  | JavaScript |        123 |          0 |         12 |        135 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\stalkMe\index.html                              | HTML       |         45 |          2 |         12 |         59 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\stalkMe\old.html                                | HTML       |         29 |          0 |          0 |         29 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\stalkMe\script.js                               | JavaScript |          8 |          0 |          2 |         10 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\style.css                                       | CSS        |        308 |          0 |         27 |        335 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\style1.css                                      | CSS        |        374 |         10 |         51 |        435 |
| c:\Users\kaden.emrich\Documents\GitHub\kadensite\v2\style2.css                                      | CSS        |        494 |         18 |         67 |        579 |
| Total                                                                                               |            |      5,439 |        271 |        833 |      6,543 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
